,Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Causeway Bay,Central,Mong Kok
0,2014-01-01,Daily Max,8.0,7.0,9.0,8.0,7.0,7.0,7.0,8.0,7.0,6.0,7.0,10.0,8.0,9.0
1,2014-01-02,Daily Max,7.0,6.0,7.0,8.0,6.0,7.0,7.0,8.0,7.0,5.0,6.0,9.0,7.0,8.0
2,2014-01-03,Daily Max,9.0,9.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0
3,2014-01-04,Daily Max,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,11.0,10.0,9.0
4,2014-01-05,Daily Max,8.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,7.0,9.0,9.0,9.0,9.0
5,2014-01-06,Daily Max,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0,8.0
6,2014-01-07,Daily Max,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0
7,2014-01-08,Daily Max,8.0,7.0,8.0,8.0,7.0,7.0,7.0,8.0,9.0,6.0,5.0,10.0,9.0,9.0
8,2014-01-09,Daily Max,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,7.0,8.0,5.0
9,2014-01-10,Daily Max,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,7.0,6.0,6.0
10,2014-01-11,Daily Max,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,5.0,8.0,6.0,6.0
11,2014-01-12,Daily Max,8.0,7.0,7.0,7.0,8.0,8.0,9.0,8.0,9.0,6.0,7.0,10.0,10.0,8.0
12,2014-01-13,Daily Max,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,8.0,4.0
13,2014-01-14,Daily Max,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,5.0,7.0,8.0,5.0
14,2014-01-15,Daily Max,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0
15,2014-01-16,Daily Max,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,5.0,5.0,7.0,6.0,6.0
16,2014-01-17,Daily Max,8.0,6.0,8.0,9.0,8.0,9.0,9.0,10.0,11.0,8.0,8.0,9.0,10.0,10.0
17,2014-01-18,Daily Max,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,8.0,8.0,6.0
18,2014-01-19,Daily Max,7.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0
19,2014-01-20,Daily Max,7.0,6.0,8.0,7.0,7.0,7.0,8.0,9.0,10.0,7.0,7.0,9.0,10.0,7.0
20,2014-01-21,Daily Max,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,8.0,10.0,7.0
21,2014-01-22,Daily Max,7.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,9.0,9.0,8.0
22,2014-01-23,Daily Max,6.0,6.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,8.0,7.0,8.0
23,2014-01-24,Daily Max,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0
24,2014-01-25,Daily Max,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,4.0,4.0,6.0,5.0,6.0
25,2014-01-26,Daily Max,8.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,8.0,8.0,8.0,8.0,8.0,9.0
26,2014-01-27,Daily Max,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0
27,2014-01-28,Daily Max,6.0,5.0,5.0,6.0,7.0,6.0,6.0,5.0,6.0,5.0,6.0,7.0,7.0,7.0
28,2014-01-29,Daily Max,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,6.0,6.0
29,2014-01-30,Daily Max,5.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,8.0,8.0,8.0
30,2014-01-31,Daily Max,6.0,5.0,7.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,8.0,8.0,7.0
31,2014-02-01,Daily Max,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,6.0,6.0,5.0
32,2014-02-02,Daily Max,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,6.0,6.0,5.0
33,2014-02-03,Daily Max,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,7.0,7.0,6.0
34,2014-02-04,Daily Max,6.0,4.0,5.0,6.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,6.0,7.0
35,2014-02-05,Daily Max,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0
36,2014-02-06,Daily Max,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0
37,2014-02-07,Daily Max,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0
38,2014-02-08,Daily Max,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,5.0,4.0
39,2014-02-09,Daily Max,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,4.0,3.0
40,2014-02-10,Daily Max,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,3.0
41,2014-02-11,Daily Max,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,6.0,7.0,4.0
42,2014-02-12,Daily Max,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,6.0,6.0,4.0
43,2014-02-13,Daily Max,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0
44,2014-02-14,Daily Max,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,7.0,7.0,5.0
45,2014-02-15,Daily Max,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,5.0,5.0
46,2014-02-16,Daily Max,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0
47,2014-02-17,Daily Max,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0
48,2014-02-18,Daily Max,7.0,5.0,6.0,6.0,7.0,9.0,7.0,8.0,8.0,6.0,6.0,8.0,8.0,7.0
49,2014-02-19,Daily Max,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,4.0
50,2014-02-20,Daily Max,4.0,4.0,4.0,5.0,6.0,6.0,6.0,7.0,7.0,4.0,4.0,6.0,6.0,6.0
51,2014-02-21,Daily Max,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0
52,2014-02-22,Daily Max,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0
