ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (October 2019)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
2019-10-01,01,8,8,8,7,6,6,7,6,7,6,6,6,6,8,8,8
,02,8,7,8,7,6,6,7,6,7,5,6,6,5,7,7,8
,03,7,6,7,6,5,5,6,5,6,5,5,6,5,7,7,7
,04,6,6,7,6,5,5,6,5,6,4,5,5,5,6,6,7
,05,5,5,6,6,5,4,5,4,5,4,5,5,5,6,5,6
,06,5,5,6,6,4,4,5,4,5,4,5,4,5,5,5,6
,07,5,5,6,6,4,4,5,4,5,4,4,4,4,5,5,5
,08,5,5,6,5,4,4,5,4,6,4,5,4,4,6,5,5
,09,5,5,6,5,5,5,5,5,6,3,5,4,5,6,6,6
,10,6,6,6,6,6,6,6,6,6,4,6,5,6,7,6,6
,11,7,7,7,7,6,7,7,7,7,5,7,6,7,8,7,7
,12,7,8,8,7,7,7,8,8,8,7,8,8,8,8,8,7
,13,8,8,8,8,8,8,8,9,8,7,8,8,9,8,8,8
,14,8,9,9,8,8,8,9,9,8,8,9,9,10,8,8,8
,15,9,9,9,9,8,8,9,8,9,8,9,9,10+,8,9,9
,16,9,9,9,10,8,8,9,8,9,8,8,9,10+,8,9,9
,17,9,9,9,10,8,8,9,8,9,8,8,9,10,8,9,9
,18,9,9,9,9,8,8,9,8,9,8,8,9,9,9,9,9
,19,8,8,9,8,7,8,9,8,9,6,8,8,8,8,8,8
,20,8,8,8,7,6,7,8,8,8,6,8,7,7,7,7,7
,21,7,7,7,7,6,6,7,7,7,5,7,6,8,7,7,6
,22,7,7,7,6,6,5,6,6,7,5,6,5,7,6,6,6
,23,7,7,6,6,6,5,6,6,6,5,5,5,7,6,6,6
,24,7,7,6,6,6,5,6,6,6,5,5,5,6,6,6,6
,Daily Max,9,9,9,10,8,8,9,9,9,8,9,9,10+,9,9,9
2019-10-02,01,7,7,6,6,5,5,6,6,6,5,5,5,5,6,6,6
,02,6,7,6,6,5,5,6,6,6,5*,5,5,5,6,6,5
,03,6,6,6,6,5,5,6,6,6,5*,5,5,4,6,6,5
,04,6,6,6,5,5,4,6,5,6,5,5,5,4,6,6,5
,05,6,6,6,5,5,4,6,5,5,5,5,4,4,5,5,5
,06,6,6,6,5,5,4,5,5,5,5,5,4,4,5,6,5
,07,5,5,5,5,4,4,5,4,5,5,5,4,4,5,5,5
,08,5,5,5,5,4,4,6,4,5,5,5,4,4,5,5,5
,09,5,6,6,5,5,4,6,5,5,5,5,4,4,6,6,5
,10,5,6,6,5,5,5,6,5,6,5,5,5,5,6,6,5
,11,6,6,7,6,5,6,6,6,6,5,6,6,5,6,6,6
,12,6,6*,7,6,6*,6,6,6,6,6,7,6*,6,6,6,6
,13,6,6*,7,6,6*,6,7,7,6,6,7,6*,6,6*,6,6
